                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5358,                 4.4594,                 1.3429,                0.00176,                0.16405,                0.07525,                0.05785,                 1.2383,                 4.0672,                 1.1622,               9.09e-05,               9.09e-05,               9.09e-05
                      2,                 1.4689,                 3.4117,                 1.2273,                 0.0373,                0.21201,                0.11137,                0.07891,                 1.3045,                 3.7689,                 1.0919,             0.00019026,             0.00019026,             0.00019026
                      3,                 1.3927,                 2.4763,                 1.1636,                0.02847,                0.19976,                0.14137,                0.09851,                 1.3551,                 3.7334,                  1.175,             0.00028896,             0.00028896,             0.00028896
                      4,                 1.3971,                 2.1183,                 1.1538,                0.01241,                0.17883,                0.13467,                0.10793,                 1.2634,                 3.5804,                 1.0887,               0.000387,               0.000387,               0.000387
                      5,                 1.3068,                 1.9674,                   1.15,                0.98971,                0.09695,                0.14839,                0.11211,                 1.3061,                 3.4304,                  1.096,             0.00048438,             0.00048438,             0.00048438
                      6,                 1.2946,                 1.8337,                 1.1107,                      1,                 0.1029,                0.14315,                0.10834,                 1.3975,                 3.3883,                 1.1342,              0.0005811,              0.0005811,              0.0005811
                      7,                 1.2872,                 1.7227,                 1.1146,                0.94212,                0.11512,                0.17525,                  0.123,                 1.4312,                 3.2643,                 1.1452,             0.00067716,             0.00067716,             0.00067716
                      8,                 1.2788,                 1.6225,                 1.1137,                0.81519,                0.15557,                0.30095,                0.18363,                 1.5006,                 2.7994,                 1.1806,             0.00077256,             0.00077256,             0.00077256
                      9,                  1.264,                 1.6004,                 1.1274,                0.89667,                0.13521,                0.27379,                0.16831,                 1.5542,                 2.7356,                 1.2483,              0.0008673,              0.0008673,              0.0008673
                     10,                 1.3055,                 1.5533,                  1.125,                0.72924,                0.11711,                0.25999,                0.13259,                 1.6447,                 2.6819,                 1.3248,               0.000882,               0.000882,               0.000882
                     11,                 1.2266,                 1.4221,                 1.0944,                0.43096,                0.33526,                0.37931,                0.22599,                 1.4729,                 2.1784,                 1.2787,               0.000879,               0.000879,               0.000879
                     12,                 1.2274,                  1.381,                 1.0811,                0.53362,                0.42216,                0.40757,                0.23982,                 1.4615,                 2.2451,                 1.2279,               0.000876,               0.000876,               0.000876
                     13,                 1.2246,                 1.3437,                 1.1086,                0.71591,                0.32655,                0.37649,                  0.269,                  1.283,                 1.7067,                  1.065,               0.000873,               0.000873,               0.000873
                     14,                 1.1959,                 1.2026,                 1.0908,                0.67568,                0.29527,                0.37863,                0.23612,                 1.4148,                 1.8018,                 1.1011,                0.00087,                0.00087,                0.00087
                     15,                 1.2324,                 1.1949,                 1.0872,                0.71958,                 0.4646,                0.52174,                0.36444,                 1.2947,                 1.4594,                 1.0489,               0.000867,               0.000867,               0.000867
                     16,                 1.2217,                 1.1565,                 1.0749,                0.69443,                0.34168,                0.45184,                 0.3085,                 1.3936,                 1.5467,                 1.1269,               0.000864,               0.000864,               0.000864
                     17,                 1.1902,                 1.1278,                 1.0661,                0.79481,                0.29837,                0.44664,                0.29892,                 1.3715,                 1.7936,                 1.1549,               0.000861,               0.000861,               0.000861
                     18,                 1.1646,                  1.081,                 1.0719,                0.56768,                0.47535,                0.45115,                0.29943,                  1.459,                 1.4582,                 1.1248,             0.00085801,             0.00085801,             0.00085801
                     19,                 1.1485,                 1.0376,                 1.0614,                0.62945,                0.49891,                0.49485,                0.30862,                 1.3806,                 1.8956,                    1.1,             0.00085501,             0.00085501,             0.00085501
                     20,                 1.1114,                0.97426,                 1.0386,                0.64972,                0.49616,                0.54479,                0.34195,                 1.3893,                 1.3387,                 1.1047,             0.00085201,             0.00085201,             0.00085201
                     21,                 1.1397,                0.98023,                 1.0481,                0.63168,                0.40999,                0.42166,                0.27805,                 1.2671,                 1.5947,                 1.0957,             0.00084901,             0.00084901,             0.00084901
                     22,                 1.1135,                0.94154,                 1.0424,                 0.5439,                0.50295,                0.52058,                0.32368,                 1.3392,                 1.3052,                 1.1198,             0.00084601,             0.00084601,             0.00084601
                     23,                 1.0903,                 0.9478,                 1.0289,                0.79441,                0.45144,                0.55601,                0.34226,                 1.3259,                  1.419,                 1.1027,             0.00084301,             0.00084301,             0.00084301
                     24,                 1.0595,                0.96397,                  1.048,                0.48414,                0.51317,                0.52407,                0.34834,                 1.2287,                 1.5006,                 1.0621,             0.00084001,             0.00084001,             0.00084001
                     25,                 1.0712,                0.91072,                 1.0348,                0.77662,                0.46611,                0.59692,                0.37724,                 1.2712,                 1.1791,                 1.0416,             0.00083701,             0.00083701,             0.00083701
