                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94692,                 0.7404,                0.98456,                0.73727,                0.64285,                0.68985,                0.45017,                 1.2104,                 1.1417,                 1.0168,             0.00050104,             0.00050104,             0.00050104
                     36,                0.94216,                0.73508,                0.98437,                0.73939,                0.66864,                0.70454,                0.45612,                 1.2135,                 1.0218,                 1.0296,             0.00048904,             0.00048904,             0.00048904
                     37,                0.96001,                 0.7313,                0.97997,                0.71073,                0.66646,                0.71146,                0.45898,                 1.2142,                 1.0159,                 1.0369,             0.00047704,             0.00047704,             0.00047704
                     38,                0.93504,                0.69077,                 0.9676,                0.67262,                0.66672,                 0.6542,                0.42665,                 1.2192,                  1.014,                 1.0369,             0.00046504,             0.00046504,             0.00046504
                     39,                0.93576,                0.70465,                0.97299,                0.67612,                0.61443,                0.65576,                0.40543,                 1.2557,                  1.108,                 1.0451,             0.00045305,             0.00045305,             0.00045305
                     40,                0.91154,                0.69753,                0.96882,                0.66467,                0.62354,                0.64743,                 0.4135,                 1.2453,                 1.0201,                 1.0554,             0.00044105,             0.00044105,             0.00044105
                     41,                0.93351,                0.67635,                0.96749,                0.72885,                0.60225,                0.65965,                0.41283,                  1.242,                 1.0073,                 1.0536,             0.00042905,             0.00042905,             0.00042905
                     42,                0.94151,                0.69306,                0.97351,                0.69548,                0.67035,                0.68732,                 0.4439,                 1.2179,                0.95914,                 1.0375,             0.00041705,             0.00041705,             0.00041705
                     43,                0.89077,                0.65143,                0.96127,                 0.6939,                0.67003,                0.67522,                0.43427,                 1.2003,                0.99696,                 1.0425,             0.00040505,             0.00040505,             0.00040505
                     44,                0.92298,                0.68645,                 0.9723,                0.76293,                0.72598,                0.75059,                0.49302,                 1.1975,                0.94191,                 1.0468,             0.00039305,             0.00039305,             0.00039305
                     45,                0.90262,                0.66247,                0.95308,                0.70404,                0.75519,                0.73492,                0.47556,                 1.1913,                0.95021,                 1.0391,             0.00038105,             0.00038105,             0.00038105
                     46,                0.88001,                0.66738,                0.95469,                0.79767,                0.59811,                0.70434,                0.48211,                 1.2002,                0.95727,                 1.0402,             0.00036905,             0.00036905,             0.00036905
                     47,                0.86857,                0.64466,                0.94872,                0.68761,                0.67386,                0.66771,                0.46292,                 1.1627,                0.92168,                 1.0162,             0.00035706,             0.00035706,             0.00035706
                     48,                 0.8944,                 0.6487,                0.94653,                 0.7404,                0.66425,                0.68727,                0.46095,                 1.1911,                0.92551,                 1.0237,             0.00034506,             0.00034506,             0.00034506
                     49,                0.86736,                 0.6398,                 0.9435,                0.69599,                0.66622,                0.64983,                0.43707,                 1.1987,                  1.024,                 1.0269,             0.00033306,             0.00033306,             0.00033306
                     50,                0.87569,                0.64895,                0.93957,                0.74292,                0.73137,                0.73382,                0.49237,                 1.1497,                0.91615,                 1.0104,             0.00032106,             0.00032106,             0.00032106
